video,fail_sec,mode,episode,seconds,frames,fps,success,session
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_144620_320x192/videos/chunk-000/observation.images.wrist_left/episode_000007.mp4,21,strange,7,40.1,1203,30.0,0,rby1m_rh56f1_inference_retry_20260821_144620_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_144620_320x192/videos/chunk-000/observation.images.wrist_left/episode_000009.mp4,19,down miss,9,43.17,1295,30.0,0,rby1m_rh56f1_inference_retry_20260821_144620_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_160420_320x192/videos/chunk-000/observation.images.wrist_left/episode_000003.mp4,21,wrong insert,3,46.97,1409,30.0,0,rby1m_rh56f1_inference_retry_20260821_160420_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_160420_320x192/videos/chunk-000/observation.images.wrist_left/episode_000004.mp4,32,wrong insert,4,50.27,1508,30.0,0,rby1m_rh56f1_inference_retry_20260821_160420_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_160420_320x192/videos/chunk-000/observation.images.wrist_left/episode_000005.mp4,22,wrong insert,5,41.53,1246,30.0,0,rby1m_rh56f1_inference_retry_20260821_160420_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_160420_320x192/videos/chunk-000/observation.images.wrist_left/episode_000007.mp4,31,down miss,7,45.1,1353,30.0,0,rby1m_rh56f1_inference_retry_20260821_160420_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_160420_320x192/videos/chunk-000/observation.images.wrist_left/episode_000008.mp4,19,down miss,8,25.57,767,30.0,0,rby1m_rh56f1_inference_retry_20260821_160420_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_160420_320x192/videos/chunk-000/observation.images.wrist_left/episode_000009.mp4,31,down miss,9,55.43,1663,30.0,0,rby1m_rh56f1_inference_retry_20260821_160420_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_170641_320x192/videos/chunk-000/observation.images.wrist_left/episode_000000.mp4,37,down miss,0,43.77,1313,30.0,0,rby1m_rh56f1_inference_retry_20260821_170641_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_170641_320x192/videos/chunk-000/observation.images.wrist_left/episode_000001.mp4,20,down miss,1,28.0,840,30.0,0,rby1m_rh56f1_inference_retry_20260821_170641_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_170641_320x192/videos/chunk-000/observation.images.wrist_left/episode_000002.mp4,20,down miss,2,25.43,763,30.0,0,rby1m_rh56f1_inference_retry_20260821_170641_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_170641_320x192/videos/chunk-000/observation.images.wrist_left/episode_000003.mp4,20,down miss,3,25.4,762,30.0,0,rby1m_rh56f1_inference_retry_20260821_170641_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_170641_320x192/videos/chunk-000/observation.images.wrist_left/episode_000004.mp4,20,down miss,4,25.73,772,30.0,0,rby1m_rh56f1_inference_retry_20260821_170641_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_170641_320x192/videos/chunk-000/observation.images.wrist_left/episode_000005.mp4,19,down miss,5,23.7,711,30.0,0,rby1m_rh56f1_inference_retry_20260821_170641_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_170641_320x192/videos/chunk-000/observation.images.wrist_left/episode_000006.mp4,19,down miss,6,26.27,788,30.0,0,rby1m_rh56f1_inference_retry_20260821_170641_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_170641_320x192/videos/chunk-000/observation.images.wrist_left/episode_000007.mp4,20,down miss,7,25.47,764,30.0,0,rby1m_rh56f1_inference_retry_20260821_170641_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_170641_320x192/videos/chunk-000/observation.images.wrist_left/episode_000008.mp4,19,down miss,8,24.13,724,30.0,0,rby1m_rh56f1_inference_retry_20260821_170641_320x192
/rlwrld2/home/junmo_cho/ws/rd-rl/rl-dataset/fuji-rl-dataset/rby1m_rh56f1_inference_retry_20260821_170641_320x192/videos/chunk-000/observation.images.wrist_left/episode_000009.mp4,20,down miss,9,25.97,779,30.0,0,rby1m_rh56f1_inference_retry_20260821_170641_320x192
